model,accuracy,f1_score,precision,recall,roc_auc
KNN (k=3),0.8425,0.9099,0.9018,0.9182,0.7118
KNN (k=5),0.874,0.9292,0.9052,0.9545,0.7786
KNN (k=9),0.8898,0.9386,0.9068,0.9727,0.8321
"KNN (k=5, PCA)",0.8661,0.9251,0.8974,0.9545,0.808
"SVM (rbf, C=0.1)",0.8661,0.9283,0.8661,1.0,0.8973
"SVM (rbf, C=1.0)",0.8819,0.9333,0.913,0.9545,0.9032
"SVM (rbf, C=10.0)",0.8504,0.9132,0.9174,0.9091,0.9086
"SVM (linear, C=0.1)",0.8583,0.9182,0.9182,0.9182,0.9198
"SVM (linear, C=1.0)",0.8504,0.9132,0.9174,0.9091,0.9348
"SVM (linear, C=10.0)",0.8583,0.9174,0.9259,0.9091,0.9326
"SVM (poly, C=0.1)",0.8976,0.9437,0.9008,0.9909,0.9096
"SVM (poly, C=1.0)",0.8898,0.9381,0.9138,0.9636,0.9005
"SVM (poly, C=10.0)",0.874,0.9273,0.9273,0.9273,0.8578
"RF (50 arbres, depth=None)",0.874,0.9279,0.9196,0.9364,0.9195
"RF (50 arbres, depth=5)",0.8976,0.9422,0.9217,0.9636,0.9278
"RF (50 arbres, depth=10)",0.874,0.9279,0.9196,0.9364,0.9227
"RF (100 arbres, depth=None)",0.874,0.9279,0.9196,0.9364,0.9281
"RF (100 arbres, depth=5)",0.8976,0.9422,0.9217,0.9636,0.9337
"RF (100 arbres, depth=10)",0.8661,0.9231,0.9189,0.9273,0.9297
"RF (200 arbres, depth=None)",0.874,0.9279,0.9196,0.9364,0.9281
"RF (200 arbres, depth=5)",0.874,0.9279,0.9196,0.9364,0.931
"RF (200 arbres, depth=10)",0.874,0.9279,0.9196,0.9364,0.9267
"LR (C=0.01, lbfgs)",0.8661,0.927,0.878,0.9818,0.9176
"LR (C=0.01, liblinear)",0.8819,0.9321,0.9279,0.9364,0.907
"LR (C=0.1, lbfgs)",0.874,0.9279,0.9196,0.9364,0.9257
"LR (C=0.1, liblinear)",0.874,0.9279,0.9196,0.9364,0.9134
"LR (C=1.0, lbfgs)",0.8583,0.9174,0.9259,0.9091,0.9369
"LR (C=1.0, liblinear)",0.8583,0.9174,0.9259,0.9091,0.9305
"LR (C=10.0, lbfgs)",0.8583,0.9174,0.9259,0.9091,0.9385
"LR (C=10.0, liblinear)",0.8583,0.9174,0.9259,0.9091,0.9374
